,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Staszów,47,PL,1586612908,19,50.56,21.17,16.67,1.79
1,Mahébourg,40,MU,1586612750,69,-20.41,57.7,27.0,6.2
2,Port Elizabeth,100,ZA,1586612762,60,-33.92,25.57,21.0,3.1
3,Albany,40,US,1586612571,52,42.6,-73.97,5.56,8.7
4,Litovko,63,RU,1586612912,67,49.24,135.17,2.25,1.48
5,Vila Franca do Campo,20,PT,1586612744,63,37.72,-25.43,17.0,8.2
6,Qaanaaq,70,GL,1586612640,78,77.48,-69.36,-11.56,2.71
7,Sistranda,100,NO,1586612756,65,63.73,8.83,7.22,6.2
8,Mound,90,US,1586612916,69,44.94,-93.67,6.67,1.5
9,Prieska,40,ZA,1586612917,21,-29.66,22.75,29.96,10.4
10,Punta Arenas,75,CL,1586612448,75,-53.15,-70.92,7.0,7.2
11,Bethel,1,US,1586612746,41,41.37,-73.41,7.22,5.1
12,Mataura,100,NZ,1586612741,72,-46.19,168.86,12.22,0.45
13,Moose Factory,90,CA,1586612921,92,51.26,-80.61,-4.0,3.6
14,Kaitangata,73,NZ,1586612742,96,-46.28,169.85,10.0,1.34
15,Bredasdorp,100,ZA,1586612749,41,-34.53,20.04,25.0,2.1
16,Ushuaia,40,AR,1586612743,56,-54.8,-68.3,7.0,2.6
17,Rikitea,97,PF,1586612741,74,-23.12,-134.97,24.79,2.13
18,Aklavik,40,CA,1586612914,84,68.22,-135.01,-18.0,1.0
19,Maceió,75,BR,1586612755,62,-9.67,-35.74,31.0,4.1
20,Roebourne,0,AU,1586612929,51,-20.78,117.13,28.54,3.9
21,Cape Town,40,ZA,1586612720,77,-33.93,18.42,22.22,9.3
22,Khatanga,80,RU,1586612580,94,71.97,102.5,-13.85,5.62
23,Wisconsin Rapids,1,US,1586612932,59,44.38,-89.82,7.22,3.1
24,Ponta do Sol,75,PT,1586612736,68,32.67,-17.1,18.0,4.1
25,Nanning,20,CN,1586612934,69,22.82,108.32,23.0,7.0
26,Bluff,100,NZ,1586612748,72,-46.6,168.33,12.22,0.45
27,Port Alfred,100,ZA,1586612742,85,-33.59,26.89,19.44,1.34
28,Charlestown,0,AU,1586612938,45,-32.95,151.67,17.22,6.2
29,Busselton,100,AU,1586612741,45,-33.65,115.33,21.67,0.84
30,Baykit,79,RU,1586612940,94,61.67,96.37,-1.73,1.8
31,Vaini,20,TO,1586612632,93,-21.2,-175.2,19.0,1.0
32,Kapaa,1,US,1586612562,77,22.08,-159.32,24.0,3.1
33,Nouadhibou,0,MR,1586612822,27,20.93,-17.03,31.0,9.3
34,Sitka,1,US,1586612756,74,57.05,-135.33,-1.0,2.1
35,Bambous Virieux,40,MU,1586612741,69,-20.34,57.76,27.0,6.2
36,Jamestown,90,US,1586612505,67,42.1,-79.24,3.0,3.1
37,Huarmey,84,PE,1586612658,68,-10.07,-78.15,25.39,3.31
38,Torbay,75,CA,1586612743,75,47.67,-52.73,6.67,4.6
39,Manuk Mangkaw,11,PH,1586612949,65,4.8,119.85,28.69,0.84
40,Barrow,1,US,1586612748,75,71.29,-156.79,-29.0,4.6
41,Cayenne,90,GF,1586612769,66,4.93,-52.33,30.0,5.1
42,Atuona,97,PF,1586612741,72,-9.8,-139.03,27.84,3.91
43,Upernavik,100,GL,1586612741,88,72.79,-56.15,-6.87,3.25
44,Ulaangom,40,MN,1586612955,76,49.98,92.07,-3.2,1.16
45,Beringovskiy,93,RU,1586612781,93,63.05,179.32,-14.18,5.12
46,Grand Gaube,40,MU,1586612957,69,-20.01,57.66,27.0,6.2
47,Poum,20,NC,1586612751,71,-20.23,164.02,25.43,5.05
48,Mar del Plata,40,AR,1586612747,100,-38.0,-57.56,20.56,4.1
49,São Filipe,0,CV,1586612743,71,14.9,-24.5,24.68,8.2
50,Puerto Ayora,40,EC,1586612748,83,-0.74,-90.35,27.78,1.5
51,Fortuna,90,US,1586612757,100,40.6,-124.16,11.11,4.23
52,Águas Formosas,88,BR,1586612963,73,-17.08,-40.94,26.58,1.44
53,Cabedelo,40,BR,1586612932,62,-6.98,-34.83,31.0,5.1
54,Hithadhoo,92,MV,1586612608,67,-0.6,73.08,29.53,3.79
55,Mount Gambier,90,AU,1586612764,66,-37.83,140.77,11.0,2.6
56,Tuktoyaktuk,40,CA,1586612745,83,69.45,-133.04,-23.0,4.1
57,Thompson,75,CA,1586612758,72,55.74,-97.86,-9.0,3.1
58,Camaná,89,PE,1586612970,72,-16.62,-72.71,23.59,3.57
59,Dikson,99,RU,1586612741,93,73.51,80.55,-12.18,3.45
60,Yellowknife,20,CA,1586612743,84,62.46,-114.35,-17.22,3.6
61,George Town,20,MY,1586612738,74,5.41,100.34,31.0,2.6
62,Opuwo,56,NA,1586612767,29,-18.06,13.84,29.32,4.6
63,Saint-Philippe,20,RE,1586612745,69,-21.36,55.77,27.0,11.3
64,Coari,81,BR,1586612976,61,-4.08,-63.14,31.88,0.43
65,Castro,75,BR,1586612742,45,-24.79,-50.01,20.63,1.19
66,Santo Antônio do Tauá,75,BR,1586612978,79,-1.15,-48.13,29.0,3.6
67,Necoclí,75,CO,1586612980,94,8.42,-76.79,25.0,1.5
68,Hobart,75,AU,1586612743,71,-42.88,147.33,11.0,2.6
69,Kumul,100,CN,1586612982,16,42.8,93.45,17.67,3.17
70,Rock Sound,43,BS,1586612983,86,24.9,-76.2,24.25,6.31
71,Meulaboh,61,ID,1586612984,78,4.14,96.13,27.58,0.99
72,Lebu,0,CL,1586612747,59,-37.62,-73.65,14.9,5.83
73,Eirunepé,94,BR,1586612986,83,-6.66,-69.87,26.99,0.88
74,Hilo,20,US,1586612649,82,19.73,-155.09,20.0,1.5
75,Bang Saphan,33,TH,1586612988,82,11.21,99.51,26.46,1.1
76,Cap Malheureux,40,MU,1586612931,69,-19.98,57.61,27.0,6.2
77,Lincoln,1,US,1586612990,75,40.8,-96.67,11.0,2.66
78,Tasiilaq,40,GL,1586612564,50,65.61,-37.64,-1.0,13.4
79,Praia da Vitória,20,PT,1586612775,77,38.73,-27.07,17.0,4.7
80,Maïné Soroa,99,NE,1586612994,9,13.21,12.02,35.96,7.98
81,Ballina,1,AU,1586612751,88,-28.87,153.57,22.0,0.5
82,Pevek,100,RU,1586612750,94,69.7,170.31,-14.25,5.58
83,Vytegra,70,RU,1586612997,79,61.01,36.45,1.02,2.45
84,Constitución,100,CL,1586612757,70,-35.33,-72.42,16.02,3.84
85,Bull Savanna,61,JM,1586612999,52,17.89,-77.59,28.94,2.74
86,Coyhaique,40,CL,1586612756,70,-45.58,-72.07,7.0,1.5
87,Samoded,100,RU,1586612781,88,63.61,40.51,0.11,1.75
88,Kavaratti,2,IN,1586612772,67,10.57,72.64,29.65,1.49
89,Airai,25,TL,1586612743,74,-8.93,125.41,15.95,0.43
90,Nueva Helvecia,75,UY,1586612762,77,-34.3,-57.23,18.89,3.6
91,Alice Springs,40,AU,1586612760,25,-23.7,133.88,18.0,1.0
92,Zheleznodorozhnyy,100,RU,1586613006,44,55.75,38.0,6.0,8.0
93,Longyearbyen,20,SJ,1586612766,59,78.22,15.64,-16.0,2.04
94,Chizhou,99,CN,1586613009,87,30.66,117.48,7.96,0.7
