,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Boyuibe,0,BO,1586629014,25,-20.42,-63.28,27.54,3.02
1,Tilichiki,3,RU,1586628782,89,60.47,166.1,-17.49,2.87
2,Punta Arenas,40,CL,1586628830,66,-53.15,-70.92,9.0,8.7
3,Barra da Estiva,78,BR,1586629017,60,-13.63,-41.33,24.86,1.65
4,Deputatsky,93,RU,1586628728,92,69.3,139.9,-5.55,6.55
5,Vardø,98,NO,1586629018,89,70.37,31.11,-1.8,4.67
6,Poum,37,NC,1586629019,72,-20.23,164.02,25.45,4.61
7,Upernavik,100,GL,1586628759,90,72.79,-56.15,-5.71,0.63
8,Thompson,90,CA,1586629020,68,55.74,-97.86,-4.0,3.1
9,Beatrice,1,US,1586629020,45,40.27,-96.75,21.11,4.6
10,Bredasdorp,100,ZA,1586629021,82,-34.53,20.04,21.11,1.5
11,Mataura,100,NZ,1586629022,74,-46.19,168.86,12.22,1.79
12,Kavieng,97,PG,1586629023,74,-2.57,150.8,28.29,2.09
13,Zabul Province,95,AF,1586629023,33,32.25,67.25,15.15,2.79
14,Bluff,100,NZ,1586629024,74,-46.6,168.33,12.22,1.79
15,Mar del Plata,75,AR,1586628939,56,-38.0,-57.56,22.78,6.2
16,Kita,54,ML,1586629025,22,13.03,-9.49,36.1,4.27
17,Ribeira Grande,20,PT,1586629026,77,38.52,-28.7,18.0,2.1
18,Nelson Bay,1,AU,1586629027,50,-32.72,152.15,13.89,4.6
19,Hithadhoo,49,MV,1586629028,65,-0.6,73.08,29.48,2.99
20,Salalah,75,OM,1586628891,78,17.02,54.09,28.0,4.1
21,Iqaluit,90,CA,1586629029,79,63.75,-68.51,-5.0,1.12
22,Arraial do Cabo,75,BR,1586629006,83,-22.97,-42.03,24.0,6.2
23,Kahului,1,US,1586629030,69,20.89,-156.47,25.0,6.2
24,Karaton,40,ID,1586629031,78,-6.34,106.1,27.0,2.1
25,Busselton,100,AU,1586629032,53,-33.65,115.33,20.56,2.74
26,Ostrovnoy,73,RU,1586628789,94,68.05,39.51,-8.63,4.92
27,Placerville,90,US,1586628788,76,38.73,-120.8,16.11,2.1
28,George Town,20,MY,1586629034,88,5.41,100.34,29.0,2.1
29,Lompoc,40,US,1586628866,72,34.64,-120.46,20.0,3.6
30,Mersing,62,MY,1586629035,83,2.43,103.84,28.0,1.5
31,Avarua,65,CK,1586629036,100,-21.21,-159.78,26.0,1.5
32,Albany,75,US,1586628965,36,42.6,-73.97,9.44,8.2
33,Cherskiy,100,RU,1586628762,96,68.75,161.3,-11.27,5.16
34,Sakaraha,54,MG,1586629038,53,-22.9,44.53,23.9,0.65
35,Lebu,0,CL,1586629038,56,-37.62,-73.65,15.39,7.26
36,Qaanaaq,77,GL,1586629039,78,77.48,-69.36,-10.07,1.49
37,Tena,90,EC,1586629040,94,-0.98,-77.82,23.0,1.5
38,Sambava,3,MG,1586629040,83,-14.27,50.17,24.85,4.08
39,Rikitea,94,PF,1586629041,74,-23.12,-134.97,24.85,1.71
40,Bethel,40,US,1586628903,33,41.37,-73.41,11.67,6.2
41,Boffa,10,GN,1586628798,67,10.17,-14.03,29.49,5.86
42,Pevek,98,RU,1586629043,93,69.7,170.31,-14.73,6.26
43,Chokurdakh,100,RU,1586629044,97,70.63,147.92,-2.69,6.42
44,Puerto Ayora,75,EC,1586629043,70,-0.74,-90.35,30.0,5.1
45,Esperance,81,AU,1586629045,68,-33.87,121.9,20.0,7.7
46,Sirte,62,LY,1586628944,48,31.21,16.59,16.84,5.93
47,Sur,30,OM,1586629046,65,22.57,59.53,27.23,5.55
48,New Norfolk,90,AU,1586629047,62,-42.78,147.06,11.11,4.1
49,Tuktoyaktuk,75,CA,1586628752,76,69.45,-133.04,-21.0,2.1
50,Te Anau,91,NZ,1586629048,69,-45.42,167.72,11.32,1.87
51,Guangyuan,4,CN,1586629049,80,32.44,105.82,3.89,0.6
52,Saskylakh,87,RU,1586629029,90,71.92,114.08,-15.13,7.92
53,Karlskoga,100,SE,1586629051,52,59.33,14.52,8.89,6.2
54,Torbay,75,CA,1586629051,65,47.67,-52.73,7.78,11.3
55,Kyabé,96,TD,1586629052,43,9.45,18.94,30.54,5.34
56,Norman Wells,75,CA,1586629053,85,65.28,-126.83,-4.0,3.6
57,Bengkulu,37,ID,1586629053,79,-3.8,102.27,26.26,1.22
58,Hobart,90,AU,1586628786,62,-42.88,147.33,11.11,4.1
59,Forsytheganj,10,BY,1586629055,66,52.63,29.73,3.38,3.13
60,Castro,63,BR,1586628986,42,-24.79,-50.01,21.81,1.42
61,Ozernovskiy,1,RU,1586629056,93,51.5,156.52,-2.15,3.58
62,Udachny,90,RU,1586629052,63,66.42,112.4,-2.0,3.0
63,Olinda,20,BR,1586629057,62,-8.01,-34.86,31.0,4.6
64,Urengoy,100,RU,1586629058,98,65.97,78.37,2.19,9.06
65,Yellowknife,20,CA,1586629059,56,62.46,-114.35,-10.0,6.2
66,Adrar,0,MR,1586629059,9,20.5,-10.07,35.57,2.93
67,Dikson,100,RU,1586629060,92,73.51,80.55,-10.26,2.62
68,Port Alfred,100,ZA,1586629003,91,-33.59,26.89,20.0,2.24
69,Olafsvik,37,IS,1586629061,77,64.89,-23.71,3.26,13.7
70,Kiama,7,AU,1586629062,50,-34.68,150.87,12.78,6.7
71,Bat Yam,20,IL,1586629063,77,32.02,34.75,16.0,1.0
72,Tegul'det,4,RU,1586629063,92,57.31,88.17,-0.45,1.45
73,Morón,0,AR,1586629064,49,-34.65,-58.62,25.0,4.6
74,Cape Town,75,ZA,1586628641,93,-33.93,18.42,18.33,6.7
75,Horn Lake,20,US,1586629065,30,34.96,-90.03,20.56,3.6
76,Nikolskoye,75,RU,1586629066,80,59.7,30.79,2.0,3.0
77,North Branford,40,US,1586628904,37,41.33,-72.77,11.11,6.7
78,Butaritari,78,KI,1586629067,76,3.07,172.79,28.76,5.71
79,Ketchikan,1,US,1586628776,41,55.34,-131.65,6.0,2.6
80,San Juan,69,AR,1586629011,28,-31.54,-68.54,25.9,3.72
81,Souillac,40,MU,1586629069,83,-20.52,57.52,25.0,4.6
82,Westlock,40,CA,1586629070,58,54.15,-113.87,-4.0,8.2
83,Edson,1,CA,1586629071,38,53.58,-116.44,-5.0,5.7
84,Hilo,1,US,1586628844,73,19.73,-155.09,23.89,1.5
85,Yatou,5,CN,1586629072,59,37.15,122.38,7.04,4.14
86,Bambous Virieux,40,MU,1586628990,83,-20.34,57.76,25.0,4.6
87,Vaini,20,TO,1586629073,93,-21.2,-175.2,18.0,1.0
88,Orapa,5,BW,1586629074,36,-21.28,25.37,23.74,1.21
89,Provideniya,99,RU,1586629075,97,64.38,-173.3,-2.7,1.47
90,Tiksi,28,RU,1586629075,94,71.69,128.87,-8.05,7.79
91,Guerrero Negro,67,MX,1586629076,50,27.98,-114.06,18.84,5.56
92,Ilulissat,75,GL,1586629077,69,69.22,-51.1,1.0,4.6
93,Ixtapa,75,MX,1586628918,57,20.7,-105.2,27.0,4.6
94,Camargo,63,MX,1586629078,12,27.67,-105.17,23.99,2.47
95,Atuona,97,PF,1586628907,72,-9.8,-139.03,27.93,3.57
96,Hasaki,75,JP,1586629058,100,35.73,140.83,8.0,2.6
97,Naze,75,JP,1586629080,88,28.37,129.48,19.0,6.2
98,Mount Isa,25,AU,1586629081,21,-20.73,139.5,22.0,4.1
99,Jamestown,1,US,1586628874,47,42.1,-79.24,7.78,5.1
100,Westport,40,US,1586629082,27,41.14,-73.36,12.22,6.2
101,Vágur,99,FO,1586629083,85,61.47,-6.81,7.49,12.64
102,Ogaminana,99,NG,1586629084,48,7.59,6.22,28.14,3.23
103,Tautira,100,PF,1586629084,70,-17.73,-149.15,29.0,2.1
104,Sept-Îles,75,CA,1586628885,38,50.2,-66.38,5.0,7.7
105,Saint-Philippe,57,RE,1586629035,78,-21.36,55.77,25.0,2.6
106,Longyearbyen,20,SJ,1586629086,64,78.22,15.64,-18.0,2.29
107,Semīrom,67,IR,1586629087,40,31.42,51.57,6.83,4.84
108,Cobija,90,BO,1586629088,38,-11.03,-68.77,33.39,0.85
109,Nuristan,97,AF,1586629088,25,35.3,70.83,-0.87,1.88
110,Idah,96,NG,1586629089,60,7.11,6.73,27.56,2.45
111,Hermanus,100,ZA,1586629090,76,-34.42,19.23,21.11,1.34
112,Hamilton,90,US,1586629059,30,39.18,-84.53,16.67,4.1
113,Yangi Marg`ilon,90,UZ,1586629091,82,40.43,71.72,13.0,2.1
114,Narsaq,75,GL,1586628802,20,60.92,-46.05,13.0,11.8
115,Kapaa,90,US,1586629092,73,22.08,-159.32,23.0,4.1
116,Labuhan,89,ID,1586629049,82,-6.88,112.21,25.74,1.13
117,Oranjestad,40,AW,1586628927,66,12.52,-70.03,31.0,9.8
118,Joshīmath,3,IN,1586629094,17,30.57,79.57,10.07,3.33
